,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,1,122,222,229,312,138,252,54,278,39,164,285,19,56,37,222,181,296,309,25,56,227,298,212,22,186,4,304,267,56,60,244,37,89,55,68,172,19,146,181,286,254,56,120,209,309,56,37,148,212,175,235,56,227,322,80,181,4,120,122,222,212,132,181,4,120,209,309,56,289,74,244,161,71,60,93,164,194,186,164,140,69,189,64,289,74,244,161,56,70,322,227,0,0,0,0,0,0,0,0
1,1,122,222,212,268,309,297,60,42,267,95,56,264,85,153,294,315,41,152,323,198,123,83,186,123,99,309,51,249,243,309,322,227,216,122,222,212,49,86,160,309,255,217,60,203,324,164,116,309,10,189,322,264,122,267,27,217,227,76,65,166,186,171,120,121,186,131,37,203,324,309,10,189,322,37,54,186,212,190,63,278,210,186,309,144,56,289,74,244,161,56,70,322,227,0,0,0,0,0,0
2,1,177,192,17,123,163,186,212,98,84,112,107,121,61,122,222,309,56,35,56,227,230,299,192,224,212,112,316,241,58,61,254,56,161,222,56,35,56,227,257,56,120,122,222,4,92,147,222,183,143,56,37,148,238,66,277,231,103,84,37,108,161,136,56,171,60,287,7,87,164,48,267,232,189,166,171,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,177,265,170,275,123,224,164,228,186,131,37,316,112,241,58,61,49,86,160,309,314,56,289,74,244,37,59,206,317,7,218,212,122,222,309,20,230,39,309,56,289,148,309,149,78,320,257,56,120,122,222,4,92,147,222,183,143,56,37,148,238,66,277,231,103,84,37,108,161,136,56,171,60,287,7,87,164,48,267,232,189,166,171,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,38,275,135,123,239,186,212,20,158,121,61,59,206,123,122,222,317,67,121,61,123,53,120,54,309,149,56,227,294,39,135,123,160,54,183,15,56,227,257,56,120,122,222,4,92,147,222,183,143,56,37,148,238,66,277,231,103,84,37,108,161,136,56,171,60,287,7,87,164,48,267,232,189,166,171,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,23,4,327,56,171,120,246,166,244,72,120,121,186,212,203,324,309,232,189,210,309,51,80,124,70,20,230,39,135,122,222,309,56,37,148,309,91,332,227,257,56,120,122,222,4,92,147,222,183,143,56,37,148,238,66,277,231,103,84,37,108,161,136,56,171,60,287,7,87,164,48,267,232,189,166,171,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,325,192,17,123,163,186,212,98,61,307,181,286,122,222,309,56,70,322,236,56,227,257,56,120,122,222,4,92,147,222,183,143,56,37,148,238,66,277,231,103,84,37,108,161,136,56,171,60,287,7,87,164,48,267,232,189,166,171,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,125,4,326,169,247,309,56,169,81,84,303,166,244,288,54,309,56,171,167,143,271,227,285,19,150,56,120,213,309,319,171,60,330,278,290,267,188,70,274,220,259,227,33,278,12,267,260,106,274,62,204,43,22,186,164,258,267,200,171,60,162,171,80,109,159,84,251,56,171,289,219,152,285,286,44,171,289,219,204,137,142,90,309,272,9,72,171,28,94,164,137,166,292,37,118,4,157,88,90
8,1,276,84,54,309,143,56,60,244,139,288,252,86,130,212,7,166,100,212,122,222,105,136,56,171,28,177,265,182,61,308,161,136,56,60,323,322,84,134,311,16,133,121,135,301,58,309,179,56,115,122,222,87,309,232,189,96,171,28,102,4,207,56,64,5,212,118,19,14,220,120,58,61,54,309,56,37,148,238,308,161,323,225,54,56,37,148,4,140,141,56,60,11,181,4,227,210,309,51,60
9,1,325,192,17,163,32,166,52,120,82,19,56,289,74,244,37,329,267,30,8,171,28,261,329,267,333,166,269,189,244,309,61,323,225,56,37,148,309,149,56,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,177,192,17,123,163,186,4,56,289,74,244,37,54,309,113,56,289,219,120,321,126,80,242,4,80,114,164,130,212,54,282,309,314,217,60,293,120,97,86,203,324,309,80,267,74,244,37,285,283,57,19,56,289,74,244,37,222,186,309,113,56,70,96,171,28,205,80,326,284,30,224,4,127,4,178,237,4,326,161,56,289,74,244,37,54,186,183,149,56,227,0,0,0,0,0,0,0,0,0
11,1,93,164,73,56,37,329,26,286,56,289,74,244,37,54,75,309,215,56,70,96,171,28,26,29,75,278,228,186,131,295,56,120,132,181,4,120,54,183,129,171,28,284,30,224,4,18,19,254,56,161,54,56,289,74,244,37,77,37,253,186,309,302,189,96,171,28,248,130,212,305,120,197,186,183,21,193,8,171,28,104,54,164,30,160,173,84,243,271,37,54,183,250,120,243,4,271,227,104,4
12,1,40,309,36,34,56,171,28,40,309,54,47,286,263,56,70,96,171,28,316,56,37,31,186,183,122,222,84,15,271,227,26,54,75,84,215,56,169,306,37,191,309,186,185,202,267,234,189,322,60,46,165,186,309,266,37,54,309,307,181,286,8,171,28,24,30,160,84,243,309,322,37,54,186,212,250,120,318,166,244,231,24,84,331,56,120,214,186,4,292,328,233,309,34,56,169,79,13,6,334
